"","chloramphenicol","gentamicin","trimeth_sulfameth"
"group_7468",3,NA,NA
"group_7570",NA,3,NA
"group_7614",NA,NA,1
"group_7621",NA,3,NA
"group_792",NA,3,3
"group_8102",NA,2,NA
"group_8180",NA,5,NA
"group_8198",5,NA,NA
"group_8316",NA,NA,12
"group_8318",NA,5,5
"group_8319",NA,3,3
"group_8321",NA,6,6
"group_8322",NA,5,5
"group_8323",NA,7,7
"group_8324",NA,1,NA
"group_8326",NA,1,NA
"group_8328",NA,1,NA
"group_8349",4,NA,NA
"group_840",NA,2,NA
"group_8408",4,NA,NA
"group_8415",6,NA,6
"group_8449",7,NA,7
"group_8473",7,NA,NA
"group_8475",3,NA,3
"group_8481",6,6,6
"group_8489",10,NA,10
"group_8518",NA,NA,1
"group_8521",NA,NA,1
"group_8578",NA,3,NA
"group_8664",3,NA,NA
"group_8831",NA,6,6
"group_8848",NA,NA,7
"group_8896",NA,3,NA
"group_9038",NA,NA,1
"group_9054",NA,NA,2
"group_9164",NA,NA,4
"group_9288",NA,11,NA
"group_9314",5,NA,NA
"group_9350",10,NA,10
"group_9354",5,NA,5
"group_9386",NA,4,NA
"group_9418",7,NA,7
"group_9495",6,NA,NA
"group_9533",NA,NA,3
"group_9534",NA,NA,1
"group_9572",NA,3,NA
"group_9604",NA,NA,1
"group_9730",NA,3,NA
"group_9837",1,NA,NA
"group_990",3,NA,NA
"intI1",10,10,10
"iucC",NA,NA,5
"iutA",NA,NA,3
"lnuF",1,NA,NA
"meaB",1,NA,NA
"merA",5,NA,5
"merP",5,NA,5
"merR",5,NA,5
"merT",5,NA,5
"mphA",NA,7,7
"mtnA",NA,NA,5
"nanR",NA,3,NA
"pemK",NA,10,NA
"qac",3,NA,3
"repE",NA,2,NA
"scpC",1,NA,NA
"sopA",NA,2,NA
"sul1",NA,NA,3
"sul2",8,8,8
"sul3",6,NA,NA
"tetA",NA,NA,5
"tetRA",NA,NA,7
"traN",3,NA,NA
"trbB~~~trbJ",8,NA,NA
"trbE",2,NA,NA
"wbdC",7,NA,NA
"yaeI",NA,2,2
